SME_ID,Industry,Emirate,Business_Age,Monthly_Revenue,Revenue_Growth,Revenue_Volatility,Transaction_Volume,Receivable_Days,Payable_Days,Cash_Buffer,Financing_Requirement,Repayment_Behaviour
SME0294,Retail,Dubai,6.9,282441,0.279,0.14,491,18,34,11,392698,Excellent
SME0295,Professional Services,Dubai,4.5,66030,0.189,0.24,161,56,25,10,78664,Good
SME0296,Trading,Dubai,0.6,319362,0.197,0.189,923,43,33,23,380686,Good
SME0297,Hospitality,Dubai,3.6,64752,-0.137,0.388,171,62,30,19,58090,Excellent
SME0298,Professional Services,Dubai,8.5,65426,0.057,0.232,163,52,30,81,67103,Poor
SME0299,Professional Services,Sharjah,12.3,49772,-0.252,0.322,82,141,5,59,73604,Fair
SME0300,Healthcare,Dubai,5.0,175180,-0.35,0.488,373,45,20,44,200772,Good
SME0301,Professional Services,Dubai,13.6,262738,0.243,0.103,435,31,18,64,257367,Good
SME0302,Retail,Abu Dhabi,2.2,93293,-0.086,0.208,183,40,18,15,118260,Excellent
SME0303,Construction,Sharjah,6.6,59245,0.272,0.254,143,52,40,17,77489,Good
SME0304,Construction,Dubai,6.7,69543,0.324,0.255,172,100,12,54,107552,Good
SME0305,Trading,Ajman,7.5,213605,-0.056,0.229,413,58,5,26,243212,Poor
SME0306,F&B,Fujairah,5.5,444622,0.21,0.071,811,24,18,27,471716,Good
SME0307,Logistics,Abu Dhabi,6.3,198200,-0.065,0.154,348,150,15,9,315954,Excellent
SME0308,Healthcare,Sharjah,2.2,94227,-0.326,0.325,225,71,28,52,78254,Excellent
SME0309,E-commerce,Dubai,11.5,240631,0.107,0.096,511,23,15,37,204281,Excellent
SME0310,Retail,Fujairah,9.2,89003,-0.024,0.337,171,19,23,20,86438,Poor
SME0311,F&B,Dubai,6.2,67234,-0.017,0.296,166,16,21,17,41976,Fair
SME0312,F&B,Fujairah,9.3,41060,0.515,0.171,131,39,56,58,60664,Fair
SME0313,E-commerce,Abu Dhabi,11.8,415378,-0.256,0.232,1176,40,16,15,361251,Fair
SME0314,Logistics,Dubai,7.4,18000,0.164,0.205,43,26,38,7,17206,Excellent
SME0315,Logistics,Dubai,17.3,279440,-0.139,0.269,528,15,26,60,217381,Fair
SME0316,Logistics,Sharjah,7.9,95624,0.28,0.095,159,19,48,61,77988,Fair
SME0317,Logistics,Abu Dhabi,2.5,100065,0.146,0.256,348,58,66,15,155086,Excellent
SME0318,Manufacturing,Dubai,5.9,781598,0.163,0.296,2066,33,25,91,834794,Good
SME0319,Logistics,Sharjah,9.6,77293,-0.128,0.258,190,20,7,23,64782,Fair
SME0320,Hospitality,Ras Al Khaimah,11.8,64262,-0.088,0.193,118,43,12,15,60470,Poor
SME0321,Trading,Abu Dhabi,5.6,136713,0.284,0.237,354,48,10,36,124730,Excellent
SME0322,F&B,Abu Dhabi,2.3,131828,0.47,0.203,331,51,20,8,233880,Poor
SME0323,Logistics,Dubai,4.2,97420,0.186,0.44,347,42,18,12,92227,Poor
SME0324,Construction,Ajman,1.5,45808,-0.117,0.238,90,38,31,31,52871,Poor
SME0325,Professional Services,Dubai,8.4,47042,0.155,0.241,109,79,46,27,77827,Excellent
SME0326,Healthcare,Ras Al Khaimah,3.6,389047,0.614,0.348,1047,19,7,47,409251,Excellent
SME0327,Professional Services,Dubai,2.8,104631,0.103,0.133,250,35,27,9,125883,Fair
SME0328,Construction,Abu Dhabi,9.0,256127,0.402,0.167,438,9,16,81,245652,Good
SME0329,Healthcare,Dubai,13.4,104832,-0.083,0.195,318,32,27,18,100556,Excellent
SME0330,E-commerce,Dubai,2.8,71624,0.071,0.469,205,44,20,26,59735,Fair
SME0331,Manufacturing,Sharjah,5.6,771863,0.216,0.26,1286,64,41,18,1137165,Excellent
SME0332,E-commerce,Abu Dhabi,4.3,106916,0.167,0.19,233,10,12,8,88083,Good
SME0333,Manufacturing,Abu Dhabi,12.1,127232,-0.089,0.157,240,44,17,24,152134,Poor
SME0334,Trading,Fujairah,4.7,387780,-0.098,0.162,778,109,24,40,461234,Good
SME0335,Retail,Fujairah,2.1,59041,0.297,0.113,132,53,21,22,83587,Poor
SME0336,Healthcare,Ras Al Khaimah,4.9,78968,0.342,0.253,193,17,24,13,120161,Good
SME0337,Retail,Dubai,10.5,110052,0.413,0.225,200,32,8,48,153921,Good
SME0338,Manufacturing,Abu Dhabi,4.1,185509,0.477,0.07,315,54,61,49,263754,Excellent
SME0339,Retail,Ras Al Khaimah,3.1,136035,0.11,0.473,235,27,19,21,129048,Good
SME0340,Trading,Dubai,4.5,903825,0.012,0.207,2937,47,13,32,854346,Good
SME0341,Retail,Dubai,2.2,145192,0.377,0.377,239,45,25,47,164926,Fair
SME0342,Hospitality,Ajman,4.3,18000,0.237,0.158,44,38,27,40,25377,Poor
SME0343,Professional Services,Abu Dhabi,3.2,129572,-0.136,0.317,361,16,76,32,89037,Excellent
SME0344,Healthcare,Abu Dhabi,19.3,135201,-0.147,0.046,315,25,50,39,105314,Excellent
SME0345,Professional Services,Umm Al Quwain,0.8,101882,0.188,0.324,185,115,21,34,173188,Good
SME0346,Professional Services,Abu Dhabi,2.5,121018,0.041,0.329,235,31,68,25,105030,Good
SME0347,Hospitality,Abu Dhabi,3.1,111794,0.074,0.143,267,33,61,9,144113,Good
SME0348,E-commerce,Dubai,2.2,119975,0.316,0.116,218,33,13,11,129227,Excellent
SME0349,Healthcare,Dubai,6.6,220446,0.247,0.206,472,63,87,35,199744,Excellent
SME0350,Retail,Dubai,2.8,68819,0.373,0.268,181,34,19,17,97189,Good
SME0351,Healthcare,Ajman,1.3,58500,-0.345,0.158,160,39,29,34,53481,Excellent
SME0352,E-commerce,Ajman,5.3,1639622,0.136,0.043,3284,44,55,9,2394640,Fair
SME0353,Construction,Dubai,4.0,94990,0.233,0.151,216,68,7,14,122298,Good
SME0354,Construction,Dubai,2.9,190066,-0.256,0.192,667,39,24,22,141781,Good
SME0355,F&B,Ras Al Khaimah,12.0,26008,-0.064,0.223,47,42,32,3,24293,Good
SME0356,Construction,Dubai,6.8,192722,-0.105,0.279,491,27,49,12,168577,Excellent
SME0357,Professional Services,Abu Dhabi,6.3,44418,0.085,0.354,69,47,26,15,51378,Fair
SME0358,Professional Services,Abu Dhabi,6.9,67409,0.438,0.548,239,56,7,29,83619,Fair
SME0359,F&B,Sharjah,6.7,225435,0.525,0.234,526,58,76,21,361946,Fair
SME0360,Healthcare,Dubai,4.1,195542,-0.099,0.347,534,105,27,30,302201,Good
SME0361,Trading,Sharjah,2.8,247613,0.196,0.105,744,23,33,26,248774,Good
SME0362,Retail,Dubai,5.4,24209,0.203,0.087,62,40,9,20,30735,Excellent
SME0363,Retail,Abu Dhabi,4.1,519884,0.165,0.403,785,34,59,15,486196,Good
SME0364,Retail,Dubai,0.7,39613,0.168,0.13,85,94,19,27,63744,Good
SME0365,Healthcare,Abu Dhabi,2.0,480027,0.147,0.348,1352,59,16,56,440858,Good
SME0366,F&B,Abu Dhabi,3.7,220972,0.451,0.023,958,12,51,15,298349,Excellent
SME0367,Professional Services,Dubai,9.1,160391,0.323,0.439,659,26,10,79,139984,Excellent
SME0368,Manufacturing,Dubai,5.4,89670,-0.153,0.065,233,32,33,27,59912,Excellent
SME0369,Logistics,Dubai,2.4,161331,0.255,0.404,431,14,16,45,143242,Good
SME0370,Trading,Dubai,1.9,102354,0.276,0.183,242,42,36,33,101210,Good
SME0371,Professional Services,Dubai,10.4,100642,0.149,0.327,568,28,41,36,123585,Poor
SME0372,E-commerce,Fujairah,4.3,101455,0.329,0.232,231,108,19,12,143240,Excellent
SME0373,Logistics,Dubai,0.5,25073,0.121,0.239,44,47,57,17,36369,Excellent
SME0374,Logistics,Ajman,4.5,368016,0.124,0.166,571,31,27,6,401671,Good
SME0375,Retail,Umm Al Quwain,7.8,101830,0.107,0.31,457,20,77,21,82325,Excellent
SME0376,Retail,Dubai,1.8,72252,-0.35,0.516,204,38,52,38,60105,Fair
SME0377,Trading,Sharjah,5.1,94863,0.062,0.353,273,90,29,22,96793,Excellent
SME0378,F&B,Ras Al Khaimah,5.5,125765,-0.067,0.15,269,34,29,47,126333,Poor
SME0379,Logistics,Abu Dhabi,1.9,66348,-0.181,0.316,219,38,10,19,49230,Fair
SME0380,Manufacturing,Abu Dhabi,11.0,27275,0.395,0.11,42,73,51,14,51108,Good
SME0381,Construction,Abu Dhabi,5.5,246733,0.191,0.117,542,46,17,17,214008,Poor
SME0382,Trading,Dubai,3.7,237449,0.073,0.195,546,63,31,41,223398,Good
SME0383,Professional Services,Abu Dhabi,4.3,82864,-0.044,0.184,129,49,76,68,53930,Poor
SME0384,F&B,Umm Al Quwain,1.6,34953,0.145,0.209,78,48,56,84,35185,Excellent
SME0385,Logistics,Fujairah,1.5,152964,0.298,0.26,307,12,14,38,162405,Poor
SME0386,Hospitality,Dubai,3.4,32989,-0.102,0.343,92,18,27,45,32000,Excellent
SME0387,Manufacturing,Sharjah,3.6,77457,0.079,0.243,271,43,33,7,78840,Good
SME0388,Hospitality,Dubai,4.1,60518,0.271,0.397,161,22,61,9,51932,Poor
SME0389,Retail,Ras Al Khaimah,11.7,223541,-0.346,0.541,314,38,55,13,254407,Good
SME0390,Trading,Dubai,7.5,112224,0.067,0.402,213,17,38,58,91597,Excellent
SME0391,Healthcare,Fujairah,0.9,89468,-0.014,0.289,185,73,36,58,105215,Excellent
SME0392,Retail,Ajman,10.3,574634,0.051,0.216,1726,23,27,96,356866,Excellent
SME0393,Construction,Dubai,3.4,235531,-0.03,0.476,421,20,32,12,242541,Good
SME0394,Manufacturing,Dubai,8.0,247403,0.11,0.24,862,15,23,23,187131,Good
SME0395,Retail,Ajman,3.6,79678,0.503,0.307,304,58,44,6,165013,Good
SME0396,F&B,Dubai,5.3,55858,0.009,0.405,146,38,37,8,45420,Fair
SME0397,Professional Services,Abu Dhabi,1.7,18000,0.144,0.17,26,72,50,20,27172,Excellent
SME0398,Logistics,Ras Al Khaimah,6.1,323125,0.519,0.06,477,27,49,13,383382,Fair
SME0399,F&B,Abu Dhabi,8.7,135746,-0.041,0.253,343,18,17,13,140919,Good
SME0400,F&B,Dubai,1.1,79633,0.479,0.308,216,37,4,16,138738,Fair
SME0401,Logistics,Abu Dhabi,8.7,126212,0.081,0.226,499,80,16,63,166534,Fair
SME0402,Trading,Dubai,2.8,285556,0.472,0.572,622,12,32,51,330310,Poor
SME0403,Professional Services,Fujairah,14.1,26190,0.245,0.238,56,46,23,11,31766,Excellent
SME0404,Retail,Dubai,8.1,66079,0.148,0.393,121,49,22,50,82576,Good
SME0405,Hospitality,Dubai,7.2,43605,0.066,0.276,78,88,16,14,58653,Poor
SME0406,Trading,Dubai,4.3,688489,-0.057,0.071,1615,22,35,7,686406,Fair
SME0407,E-commerce,Fujairah,21.5,264096,0.097,0.065,511,11,7,15,209063,Excellent
SME0408,Professional Services,Dubai,3.4,18000,0.277,0.46,49,29,38,31,19882,Good
SME0409,Retail,Ras Al Khaimah,2.1,30131,0.077,0.257,59,62,38,12,32693,Fair
SME0410,Hospitality,Sharjah,2.9,102365,0.01,0.204,263,39,49,37,102183,Excellent
SME0411,Manufacturing,Ajman,9.7,124126,0.025,0.237,246,52,120,16,108002,Good
SME0412,Healthcare,Umm Al Quwain,5.2,42472,0.298,0.172,86,19,4,32,44479,Fair
SME0413,Retail,Ajman,4.7,569804,0.35,0.398,1243,33,37,11,900135,Good
SME0414,Trading,Fujairah,3.4,199213,-0.067,0.361,365,40,42,25,194168,Excellent
SME0415,Retail,Dubai,4.5,163341,-0.067,0.167,625,13,16,12,175349,Good
SME0416,E-commerce,Ajman,3.2,69672,0.163,0.3,216,40,24,21,65582,Good
SME0417,Retail,Abu Dhabi,7.7,201578,0.416,0.437,483,31,19,80,214129,Good
SME0418,Professional Services,Abu Dhabi,4.0,71059,0.332,0.284,257,150,39,18,129664,Fair
SME0419,E-commerce,Ras Al Khaimah,2.9,98609,-0.195,0.076,246,38,53,9,92601,Good
SME0420,Trading,Umm Al Quwain,9.2,256741,0.022,0.262,634,90,11,26,343854,Fair
SME0421,Healthcare,Sharjah,2.1,32783,-0.125,0.16,54,51,35,26,25804,Fair
SME0422,Retail,Abu Dhabi,5.2,423994,0.021,0.449,908,36,59,26,405619,Fair
SME0423,Retail,Abu Dhabi,0.7,127393,0.433,0.455,222,83,17,36,152974,Good
SME0424,Retail,Dubai,1.4,324098,-0.233,0.406,667,17,3,17,303072,Excellent
SME0425,Healthcare,Dubai,3.7,52481,-0.276,0.242,136,29,14,38,53241,Fair
SME0426,Professional Services,Dubai,3.2,44799,-0.102,0.195,96,64,13,24,34040,Excellent
SME0427,E-commerce,Dubai,3.2,46730,0.143,0.518,87,7,15,8,45168,Good
SME0428,Professional Services,Dubai,8.2,121466,0.217,0.051,205,38,75,42,131241,Excellent
SME0429,Retail,Sharjah,8.5,115391,0.176,0.154,266,37,86,28,142814,Good
SME0430,Professional Services,Abu Dhabi,6.0,66164,0.339,0.255,262,45,64,37,61888,Fair
SME0431,Trading,Fujairah,2.0,64506,-0.308,0.334,265,33,22,9,59326,Good
SME0432,Professional Services,Abu Dhabi,4.5,33458,0.341,0.219,81,63,66,44,51647,Good
SME0433,Manufacturing,Dubai,15.4,177978,0.011,0.264,1050,23,4,93,112894,Excellent
SME0434,Professional Services,Dubai,20.2,66098,0.241,0.081,99,68,13,8,104888,Good
SME0435,Retail,Dubai,9.2,60915,-0.211,0.215,117,19,44,48,42585,Good
SME0436,E-commerce,Umm Al Quwain,2.1,467329,0.081,0.548,1250,47,18,28,613854,Fair
SME0437,Retail,Dubai,4.5,101724,0.132,0.483,321,77,11,24,95482,Poor
SME0438,F&B,Abu Dhabi,5.7,272943,0.334,0.322,476,22,35,44,229539,Poor
SME0439,Manufacturing,Fujairah,5.1,117873,-0.269,0.104,373,25,35,41,97858,Excellent
SME0440,Healthcare,Umm Al Quwain,9.9,161197,0.087,0.162,492,69,37,56,167169,Good
SME0441,Trading,Dubai,7.9,145702,-0.159,0.141,407,43,40,9,161381,Good
SME0442,Retail,Dubai,2.0,25771,0.191,0.27,56,11,33,57,18866,Good
SME0443,Manufacturing,Dubai,3.0,624506,0.251,0.16,1191,44,25,32,618117,Fair
SME0444,E-commerce,Dubai,9.2,111846,0.363,0.085,189,57,28,6,186793,Fair
SME0445,E-commerce,Dubai,11.9,236622,-0.038,0.247,411,71,45,18,232589,Good
SME0446,Manufacturing,Abu Dhabi,5.8,97871,0.284,0.473,217,46,33,29,137612,Good
SME0447,Hospitality,Ras Al Khaimah,12.9,99576,0.379,0.094,174,52,20,18,151115,Poor
SME0448,Healthcare,Abu Dhabi,5.3,62661,-0.282,0.36,170,95,16,22,57499,Excellent
SME0449,Retail,Abu Dhabi,2.3,311950,0.215,0.262,1348,65,28,16,460557,Fair
SME0450,Healthcare,Dubai,7.5,170590,0.291,0.502,462,33,59,120,176019,Fair
SME0451,Retail,Ajman,25.0,149044,0.023,0.087,422,35,40,39,158568,Excellent
SME0452,Trading,Abu Dhabi,1.6,484527,-0.186,0.219,1295,75,61,26,380192,Poor
SME0453,Manufacturing,Ras Al Khaimah,12.6,495597,0.287,0.465,1480,46,22,11,663545,Fair
SME0454,E-commerce,Fujairah,7.2,240459,-0.184,0.315,609,42,31,56,252559,Fair
SME0455,Retail,Dubai,2.8,32583,0.041,0.268,62,32,34,36,31350,Excellent
SME0456,E-commerce,Dubai,0.8,69455,0.071,0.164,106,74,46,12,74622,Excellent
SME0457,Hospitality,Dubai,0.5,48800,0.237,0.522,201,23,22,12,45640,Fair
SME0458,F&B,Abu Dhabi,3.2,172109,-0.058,0.314,582,29,40,23,172651,Excellent
SME0459,Professional Services,Fujairah,6.4,113515,-0.071,0.372,320,74,57,26,146205,Excellent
SME0460,Healthcare,Dubai,8.8,40150,0.102,0.439,74,73,26,38,57941,Good
SME0461,Construction,Sharjah,10.1,148683,0.301,0.333,350,128,15,24,308031,Excellent
SME0462,Retail,Abu Dhabi,6.0,30638,0.583,0.453,84,38,58,40,40071,Fair
SME0463,Hospitality,Dubai,5.4,109492,-0.252,0.234,204,32,42,18,108884,Good
SME0464,Logistics,Dubai,3.8,34728,0.149,0.466,61,34,9,24,28212,Excellent
SME0465,Construction,Sharjah,6.5,273623,-0.159,0.057,611,12,27,57,143658,Good
SME0466,Manufacturing,Sharjah,2.9,255735,0.304,0.454,726,8,78,42,194834,Excellent
SME0467,Healthcare,Abu Dhabi,1.7,662700,-0.126,0.094,1374,46,38,25,813434,Excellent
SME0468,Hospitality,Dubai,5.1,235504,-0.068,0.237,558,31,28,31,164500,Good
SME0469,Retail,Sharjah,8.3,76155,-0.05,0.604,181,24,14,24,65944,Good
SME0470,F&B,Dubai,1.4,185877,0.063,0.134,478,41,13,8,192304,Good
SME0471,F&B,Fujairah,3.2,28267,0.151,0.489,50,47,44,70,24269,Good
SME0472,F&B,Dubai,5.0,40920,0.186,0.183,85,36,14,12,48461,Good
SME0473,Retail,Dubai,4.9,144809,0.079,0.132,252,37,34,19,104954,Good
SME0474,Retail,Abu Dhabi,7.1,18000,-0.213,0.244,29,31,26,111,10000,Good
SME0475,E-commerce,Abu Dhabi,15.1,121561,0.24,0.283,241,59,33,10,159470,Fair
SME0476,Logistics,Abu Dhabi,0.5,59584,0.068,0.264,153,28,25,23,67896,Good
SME0477,F&B,Abu Dhabi,15.6,101072,0.336,0.117,176,20,37,60,118544,Excellent
SME0478,Healthcare,Umm Al Quwain,14.7,52378,-0.076,0.362,104,30,49,80,43979,Fair
SME0479,Healthcare,Abu Dhabi,8.9,187762,-0.273,0.198,246,45,25,35,162484,Fair
SME0480,F&B,Abu Dhabi,5.7,94269,0.073,0.195,193,61,47,56,74221,Excellent
SME0481,F&B,Abu Dhabi,2.9,304916,0.365,0.4,571,106,63,21,468603,Good
SME0482,E-commerce,Dubai,8.8,126183,0.115,0.49,260,42,34,2,186324,Fair
SME0483,Construction,Abu Dhabi,5.9,90822,0.036,0.349,207,91,44,53,84507,Excellent
SME0484,Logistics,Dubai,3.8,114980,-0.111,0.159,274,26,11,25,81534,Poor
SME0485,Retail,Abu Dhabi,8.6,34801,0.467,0.432,72,23,25,19,59144,Good
SME0486,F&B,Dubai,9.7,130967,-0.147,0.103,256,51,9,18,170863,Fair
SME0487,F&B,Umm Al Quwain,11.9,153101,-0.08,0.072,260,56,20,40,117108,Poor
SME0488,E-commerce,Abu Dhabi,2.6,1023336,0.205,0.072,2101,44,26,40,1319418,Poor
SME0489,Construction,Ras Al Khaimah,10.9,102893,-0.328,0.12,261,150,82,25,145493,Good
SME0490,Construction,Abu Dhabi,3.9,139021,0.36,0.29,338,27,16,34,166188,Fair
SME0491,Manufacturing,Dubai,5.7,113690,0.217,0.403,390,81,27,10,160361,Excellent
SME0492,Healthcare,Ajman,6.5,156783,0.278,0.156,241,24,14,22,231400,Good
SME0493,Healthcare,Sharjah,10.3,181092,0.203,0.427,470,58,24,11,188514,Fair
SME0494,Logistics,Ajman,8.1,135536,0.045,0.045,239,40,38,10,165332,Good
SME0495,Professional Services,Abu Dhabi,3.8,247216,-0.154,0.343,512,46,41,32,165337,Fair
SME0496,Construction,Abu Dhabi,0.5,103318,0.049,0.142,212,51,22,26,116276,Excellent
SME0497,F&B,Ras Al Khaimah,7.0,214428,-0.135,0.201,492,41,18,18,229226,Excellent
SME0498,Healthcare,Abu Dhabi,5.5,206911,0.187,0.24,582,37,68,21,269424,Excellent
SME0499,Logistics,Dubai,1.6,140384,0.257,0.258,421,10,21,34,179716,Good
SME0500,Construction,Sharjah,6.0,133560,0.405,0.278,203,67,5,40,217638,Excellent
SME0501,Manufacturing,Sharjah,5.0,1459050,0.162,0.116,3147,16,57,36,1577193,Good
SME0502,Trading,Fujairah,11.8,76268,0.283,0.246,130,31,6,5,81534,Poor
SME0503,Trading,Dubai,16.2,196755,0.015,0.13,319,48,57,3,276271,Fair
SME0504,F&B,Abu Dhabi,9.5,49011,-0.025,0.078,122,19,9,13,42911,Fair
SME0505,Construction,Ajman,4.7,796340,0.184,0.26,1590,37,10,3,904257,Excellent
SME0506,Professional Services,Abu Dhabi,5.3,208656,-0.005,0.229,458,63,12,65,189809,Good
SME0507,Logistics,Sharjah,2.6,79679,0.139,0.055,256,31,20,20,78981,Fair
SME0508,Professional Services,Abu Dhabi,3.0,151804,-0.153,0.107,355,37,58,8,159948,Excellent
SME0509,F&B,Dubai,4.5,115442,-0.114,0.056,222,21,13,20,91982,Good
SME0510,Retail,Sharjah,4.2,70324,0.22,0.475,180,33,37,4,71615,Poor
SME0511,Retail,Dubai,1.5,207822,0.275,0.081,506,17,32,8,305106,Excellent
SME0512,Professional Services,Dubai,11.9,136701,-0.137,0.242,319,45,29,19,170890,Poor
SME0513,Retail,Abu Dhabi,12.9,131051,0.228,0.223,186,14,51,17,140489,Excellent
SME0514,E-commerce,Sharjah,11.6,121071,-0.037,0.427,527,26,31,19,139727,Excellent
SME0515,Logistics,Ras Al Khaimah,13.2,204589,0.084,0.04,401,41,32,34,194382,Excellent
SME0516,E-commerce,Dubai,19.3,152473,0.392,0.475,363,35,43,47,173687,Poor
SME0517,Logistics,Dubai,2.6,149133,0.258,0.375,400,50,20,27,230961,Good
SME0518,Manufacturing,Fujairah,18.7,107556,0.255,0.293,258,37,28,49,126702,Fair
SME0519,Retail,Dubai,3.8,460331,0.5,0.295,868,10,34,17,702742,Good
SME0520,Professional Services,Dubai,7.7,40206,-0.075,0.288,75,18,49,53,28105,Fair
SME0521,Trading,Dubai,1.2,219688,-0.137,0.092,465,40,25,28,194362,Good
SME0522,Logistics,Abu Dhabi,3.4,108030,-0.079,0.22,186,72,27,45,83196,Good
SME0523,Retail,Ras Al Khaimah,9.7,486803,0.024,0.356,808,65,37,17,698848,Fair
SME0524,Healthcare,Sharjah,8.0,60740,-0.35,0.335,111,150,26,27,74650,Fair
SME0525,Retail,Sharjah,3.7,58397,0.034,0.234,152,28,17,87,40220,Fair
SME0526,Logistics,Dubai,5.3,62194,-0.04,0.174,122,61,43,27,49799,Excellent
SME0527,Hospitality,Dubai,3.1,150804,0.252,0.179,296,59,31,47,197117,Fair
SME0528,Hospitality,Abu Dhabi,9.7,35657,0.158,0.052,101,93,21,51,41929,Excellent
SME0529,Professional Services,Dubai,12.4,65375,-0.052,0.296,250,79,12,38,82452,Poor
SME0530,Logistics,Dubai,2.6,22762,0.21,0.088,110,47,6,43,25879,Good
SME0531,Manufacturing,Dubai,4.9,227518,0.239,0.134,496,56,38,17,227665,Excellent
SME0532,Manufacturing,Dubai,1.5,121230,-0.089,0.032,250,50,16,13,89175,Good
SME0533,Logistics,Abu Dhabi,5.9,40035,-0.028,0.097,130,39,8,11,32994,Good
SME0534,Healthcare,Sharjah,7.2,329420,-0.35,0.149,572,53,15,33,366530,Good
SME0535,Retail,Dubai,6.2,35900,-0.16,0.073,77,44,34,26,41416,Fair
SME0536,E-commerce,Abu Dhabi,6.8,247005,-0.083,0.443,404,43,16,32,209276,Fair
SME0537,Construction,Ajman,4.5,96194,0.096,0.038,195,95,34,9,134164,Excellent
SME0538,E-commerce,Sharjah,4.6,489479,-0.128,0.152,1520,47,19,15,421118,Good
SME0539,E-commerce,Ajman,4.4,237252,-0.033,0.088,470,42,27,46,256177,Fair
SME0540,Professional Services,Abu Dhabi,3.3,41681,-0.19,0.211,79,36,29,29,48733,Poor
SME0541,Hospitality,Ajman,3.6,52537,0.118,0.292,137,34,42,28,61876,Good
SME0542,Construction,Dubai,7.0,292056,0.174,0.229,1055,18,43,21,225801,Poor
SME0543,Professional Services,Dubai,11.9,78560,0.169,0.333,170,39,28,14,86822,Excellent
SME0544,Hospitality,Dubai,2.2,99196,0.083,0.497,301,74,14,55,138583,Fair
SME0545,Retail,Abu Dhabi,4.6,321709,-0.259,0.038,550,28,55,61,203628,Fair
SME0546,F&B,Dubai,1.8,49075,-0.056,0.236,122,119,21,27,71402,Good
SME0547,F&B,Dubai,3.4,100216,-0.01,0.533,153,7,3,23,100934,Excellent
SME0548,Retail,Sharjah,3.8,245594,-0.009,0.098,1259,52,33,64,245719,Fair
SME0549,Professional Services,Dubai,5.6,195319,0.096,0.156,419,45,34,15,229466,Good
SME0550,F&B,Dubai,5.5,80968,0.394,0.152,130,94,22,18,131336,Excellent
SME0551,F&B,Dubai,4.9,72541,0.259,0.228,211,26,9,45,96411,Excellent
SME0552,Retail,Abu Dhabi,6.6,24885,-0.137,0.121,58,16,7,18,20033,Fair
SME0553,E-commerce,Dubai,2.4,51121,0.229,0.27,127,35,23,26,72465,Excellent
SME0554,Trading,Dubai,5.6,200201,0.221,0.223,544,31,13,3,230639,Good
SME0555,Retail,Dubai,8.1,97032,-0.097,0.347,202,12,48,62,75589,Poor
SME0556,E-commerce,Sharjah,2.4,133713,0.267,0.24,454,42,22,42,192606,Fair
SME0557,Logistics,Fujairah,0.9,343084,0.045,0.537,786,30,20,52,297872,Good
SME0558,F&B,Abu Dhabi,9.6,33801,-0.23,0.116,66,85,77,12,36324,Good
SME0559,Construction,Sharjah,1.9,142807,0.18,0.45,337,42,4,70,100532,Excellent
SME0560,F&B,Ras Al Khaimah,3.2,108867,0.128,0.072,330,24,27,24,128973,Good
SME0561,Retail,Umm Al Quwain,8.0,59962,0.03,0.12,105,39,6,55,55344,Excellent
SME0562,E-commerce,Abu Dhabi,2.3,423588,0.072,0.305,788,44,58,33,365994,Excellent
SME0563,Professional Services,Ras Al Khaimah,9.2,212551,-0.078,0.121,654,55,8,44,247388,Excellent
SME0564,Healthcare,Ras Al Khaimah,2.9,167533,0.214,0.275,568,40,35,34,235357,Good
SME0565,Healthcare,Ajman,2.6,601642,0.07,0.149,1792,116,32,18,1043263,Excellent
SME0566,Manufacturing,Abu Dhabi,1.8,51874,0.117,0.078,101,18,6,6,56536,Excellent
SME0567,Professional Services,Dubai,2.9,97545,0.159,0.231,202,29,35,58,116131,Fair
SME0568,Retail,Dubai,7.3,148953,-0.174,0.071,273,24,19,2,174732,Excellent
SME0569,Logistics,Abu Dhabi,3.2,65186,-0.117,0.173,159,32,39,47,41126,Fair
SME0570,Construction,Abu Dhabi,9.6,225395,-0.35,0.166,665,47,18,58,249242,Good
SME0571,Logistics,Dubai,5.0,55369,0.204,0.416,99,46,35,8,70584,Good
SME0572,Professional Services,Abu Dhabi,5.3,176595,-0.187,0.219,460,54,26,18,230321,Excellent
SME0573,F&B,Abu Dhabi,2.5,227895,0.109,0.453,482,42,35,7,298010,Excellent
SME0574,Professional Services,Ajman,10.6,123763,0.162,0.136,469,44,39,16,156036,Fair
SME0575,Trading,Dubai,8.2,31622,0.213,0.498,83,43,24,52,30256,Good
SME0576,F&B,Dubai,8.0,40770,-0.185,0.293,71,30,21,43,24316,Excellent
SME0577,Trading,Ajman,4.3,246835,0.066,0.14,678,29,38,39,193872,Good
SME0578,Construction,Ajman,1.6,177730,0.447,0.137,324,24,19,19,262182,Good
SME0579,Trading,Umm Al Quwain,5.5,18000,0.457,0.232,106,56,24,2,34071,Excellent
SME0580,Logistics,Ras Al Khaimah,7.1,407897,0.297,0.319,1065,8,65,9,326875,Good
SME0581,F&B,Ras Al Khaimah,7.1,104155,0.154,0.111,243,43,27,21,96808,Good
SME0582,Construction,Dubai,6.5,87011,-0.141,0.46,132,62,43,11,106261,Good
SME0583,Retail,Dubai,6.3,254158,0.238,0.086,821,71,17,47,275399,Fair
SME0584,F&B,Dubai,2.8,52134,0.045,0.057,98,6,35,72,26701,Good
SME0585,Trading,Abu Dhabi,3.0,85075,0.203,0.127,147,31,24,33,68311,Fair
SME0586,Healthcare,Fujairah,1.9,177535,-0.059,0.544,489,25,22,8,180689,Good
SME0587,E-commerce,Dubai,9.7,570144,0.042,0.169,1407,29,6,59,487292,Good
